season,episode,restaurant,city,state,air_date,status,film_month,closing_year,cuisine,revisited,two_parts
1,1,Peter's,Babylon,NY,2007-09-19,closed,Mar 2007,2008,Italian,No,No
1,2,Dillon's,New York City,NY,2007-09-26,closed,Mar 2007,2008,Indian,No,No
1,3,The Mixing Bowl,Bellmore,NY,2007-10-03,closed,Mar 2007,2009,American,No,No
1,4,Seascape,Islip,NY,2007-10-10,closed,Mar 2007,2007,Seafood,No,No
1,5,The Olde Stone Mill,Tuckahoe,NY,2007-10-17,closed,Mar 2007,2022,American,Yes,No
1,6,Sebastian's,Toluca Lake,CA,2007-11-07,closed,Feb 2007,2008,Pizza,No,No
1,7,Finn McCool's,Westhampton,NY,2007-11-14,closed,Mar 2007,2012,Irish,Yes,No
1,8,Lela's,Pomona,CA,2007-11-21,closed,Feb 2007,2007,Fine Dining,No,No
1,9,Campania,Fair Lawn,NJ,2007-11-28,closed,Mar 2007,2010,Italian,No,No
1,10,The Secret Garden,Moorpark,CA,2007-12-12,closed,Feb 2007,2010,French,No,No
2,2,Handlebar,Mount Sinai,NY,2008-09-11,closed,Feb 2008,2009,American,Yes,No
2,3,Giuseppi's,Macomb Township,MI,2008-09-18,closed,Feb 2008,2009,Italian,Yes,No
2,4,Trobiano's,Great Neck,NY,2008-09-25,closed,Feb 2008,2008,Italian,No,No
2,5,Black Pearl,New York City,NY,2008-09-25,closed,Feb 2008,2008,Seafood,Yes,No
2,6,J Willy's,South Bend,IN,2008-10-30,closed,Feb 2008,2009,American,No,No
2,7,Hannah & Mason's,Cranbury,NJ,2008-11-06,closed,Feb 2008,2010,American,No,No
2,8,Jack's Waterfront,St. Clair Shores,MI,2008-11-06,closed,Mar 2008,2010,Seafood,No,No
2,9,Sabatiello's,Stamford,CT,2008-11-13,closed,Feb 2008,2008,Italian,No,No
2,10,Fiesta Sunrise,West Nyack,NY,2008-11-13,closed,Feb 2008,2008,Mexican,No,No
2,11,Sante La Brea,Los Angeles,CA,2008-11-20,closed,Mar 2008,2011,Healthy,Yes,No
2,12,Cafe 36,La Grange,IL,2009-01-15,closed,Feb 2008,2009,American,No,No
3,1,Hot Potato Cafe,Fishtown,PA,2010-01-29,closed,May 2009,2010,American,No,No
3,2,Flamango's,Whitehouse Station,NJ,2010-02-02,closed,Jul 2009,2011,Hawaiian,Yes,No
3,3,Bazzini,Ridgewood,NJ,2010-02-05,closed,Jul 2009,2010,Italian,Yes,No
3,4,Mojito,Brooklyn,NY,2010-02-25,closed,May 2009,2016,Cuban,Yes,No
3,5,Lido di Manhattan,Manhattan Beach,CA,2010-03-04,open,Jul 2009,,Italian,Yes,No
3,6,Le Bistro,Lighthouse Point,FL,2010-03-11,open,Jul 2009,,Fine Dining,Yes,No
3,7,Casa Roma,Lancaster,CA,2010-03-12,closed,Mar 2008,2017,Italian,Yes,No
3,8,Mama Rita's,Newbury Park,CA,2010-03-19,closed,May 2009,2010,Mexican,No,No
3,9,Anna Vincenzo's,Boca Raton,FL,2010-03-26,closed,Jul 2009,2010,Italian,Yes,No
3,11,Fleming,Miami,FL,2010-05-07,closed,Jul 2009,2010,Danish,No,No
3,12,Sushi-Ko,Thousand Oaks,CA,2010-05-14,closed,May 2009,2009,Japanese,No,No
4,1,Spanish Pavilion,Harrison,NJ,2011-01-21,open,Nov 2010,,Spanish,Yes,No
4,2,Classic American,Babylon,NY,2011-01-28,closed,Nov 2010,2013,American,Yes,No
4,3,PJ's Steakhouse,Queens,NY,2011-02-11,closed,May 2010,2010,American,No,No
4,5,Grasshopper Also,Carlstadt,NJ,2011-02-18,closed,Nov 2010,2012,Irish,No,No
4,6,Davide,Boston,MA,2011-02-25,closed,Dec 2010,2014,Italian,Yes,No
4,7,Down City,Providence,RI,2011-03-11,closed,Dec 2010,2011,American,Yes,No
4,9,Tavolini,Bridgeport,CT,2011-03-25,closed,Dec 2010,2010,Italian,No,No
4,10,Kingston Cafe,Pasadena,CA,2011-04-15,closed,Jan 2011,2018,Jamaican,Yes,No
4,11,La Frite,Sherman Oaks,CA,2011-04-29,closed,Jan 2011,2016,French,Yes,No
4,12,Capri,Eagle Rock,CA,2011-05-06,closed,Jan 2011,2019,Italian,Yes,No
4,13,Zeke's,Metairie,LA,2011-05-13,closed,Jan 2011,2012,Seafood,No,No
4,14,Oceana,New Orleans,LA,2011-05-20,open,Jan 2011,,New Orleans,No,No
5,1,Blackberry's,Plainfield,NJ,2011-09-23,closed,Jul 2011,2013,Soul Food,No,No
5,2,Leone's,Montclair,NJ,2011-09-30,open,Jul 2011,,Italian,Yes,No
5,3,Mike & Nellie's,Oakhurst,NJ,2011-10-07,closed,Jul 2011,2012,Steakhouse,No,No
5,4,Luigi's D'Italia,Anaheim,CA,2011-10-14,open,Jul 2011,,Italian,No,No
5,6,Burger Kitchen,Los Angeles,CA,2011-09-04,closed,Aug 2011,2012,American,No,Yes
5,8,The Greek at the Harbor,Ventura,CA,2011-11-18,open,Aug 2011,,Greek,No,No
5,9,Michon's,College Park,GA,2012-01-13,closed,Jan 2012,2013,Barbecue,No,No
5,10,El Greco,Austin,TX,2012-01-20,closed,Aug 2011,2011,Greek,No,No
5,12,Park's Edge,Atlanta,GA,2012-02-03,closed,Sep 2011,2014,American,No,No
5,13,Spin-A-Yarn Steakhouse,Fremont,CA,2012-02-10,open,Oct 2011,,Steakhouse,No,No
5,14,Charlie's,La Verne,CA,2012-02-17,closed,Oct 2011,2012,Italian,No,No
5,15,Cafe Hon,Baltimore,MD,2012-02-24,closed,Nov 2011,2022,American,Yes,No
5,16,Chiarella's,Philadelphia,PA,2012-03-23,closed,Nov 2011,2015,Italian,Yes,No
5,17,Zocalo,Philadelphia,PA,2012-03-30,closed,Nov 2011,2013,Mexican,No,No
6,1,La Galleria 33,Boston,MA,2012-10-26,closed,May 2012,2018,Italian,Yes,Yes
6,3,Mama Maria's,Brooklyn,NY,2012-11-09,open,Jun 2012,2023,Italian,No,No
6,4,Ms. Jean's Southern Cuisine,Wilkinsburg,PA,2012-11-16,closed,Jun 2012,2022,Soul Food,No,No
6,5,Barefoot Bob's,Hull,MA,2012-12-07,closed,May 2012,2016,American,No,No
6,7,Olde Hitching Post Restaurant and Tavern,Hanson,MA,2013-01-25,open,Jun 2012,,American,Yes,No
6,8,Levanti's Italian Restaurant,Beaver,PA,2013-02-01,closed,Jun 2012,2013,Italian,No,No
6,9,Sam's Mediterranean Kabob Room,Monrovia,CA,2013-02-15,closed,Jul 2012,2014,Mediterranean,No,No
6,10,Nino's Italian Restaurant,Long Beach,CA,2013-02-22,closed,Jul 2012,2016,Italian,No,Yes
6,11,Mill Street Bistro,Norwalk,OH,2013-03-01,closed,Jul 2012,2016,American,No,No
6,13,Yanni's,Seattle,WA,2013-03-15,open,Nov 2012,,Greek,No,No
6,14,Prohibition Grille,Everett,WA,2013-04-26,closed,Nov 2012,2017,American,Yes,No
6,15,Chappy's,Nashville,TN,2013-05-03,closed,Dec 2012,2013,Cajun,Yes,No
6,16,Amy's Baking Company,Scottsdale,AZ,2013-05-10,closed,Dec 2012,2015,Pizza/Bakery,No,No
7,2,Pantaleone's,Denver,CO,2014-04-11,open,Jul 2013,,Pizza,No,No
7,3,Old Neighborhood,Arvada,CO,2014-04-18,closed,Jul 2013,2016,American,No,No
7,4,Kati Allo,Queens,NY,2014-04-18,closed,Jul 2013,2014,Greek,No,No
7,5,Mangia Mangia,Woodland Park,CO,2014-04-25,closed,Aug 2013,2014,Italian,No,Yes
7,7,Zayna Flaming Grill,Redondo Beach,CA,2014-05-02,closed,Aug 2013,2023,Middle Eastern,No,Yes
7,9,Bella Luna,Easton,PA,2014-05-16,closed,Jul 2013,2013,Italian,No,No
8,1,Bel Aire,Astoria,NY,2023-09-25,open,Apr 2023,,American,No,No
8,2,Bask 46,Woodland Park,NJ,2023-10-02,open,Jun 2023,,American,No,No
8,3,In the Drink,Wayne,NJ,2023-10-09,open,Jul 2023,,American,No,No
8,4,Da Mimmo,Dumont,NJ,2023-10-16,open,Jun 2023,,Italian,No,No
8,5,The Juicy Box,Brooklyn,NY,2023-11-06,open,Jun 2023,,American,No,No
8,6,Love Bites,Saugerties,NY,2023-11-13,closed,Jun 2023,2023,Breakfast,No,No
8,7,El Cantito,Yonkers,NY,2023-11-20,open,Jun 2023,,Puerto Rican,No,No
8,8,South Brooklyn Foundry,Brooklyn,NY,2023-11-27,closed,Jun 2023,2024,American,No,No
8,9,Max's Bar & Grill,Long Branch,NJ,2023-12-04,open,Jun 2023,,American,No,No
8,10,Diwan,Port Washington,NY,2023-12-04,open,Jun 2023,,Indian,No,No
